App_Age,App_Race,birst_constant_one,row
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
30,CAUCASIAN,\N,\N
31,BLACK,\N,\N
31,BLACK,\N,\N
31,BLACK,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
31,CAUCASIAN,\N,\N
32,BLACK,\N,\N
32,BLACK,\N,\N
32,BLACK,\N,\N
32,BLACK,\N,\N
32,BLACK,\N,\N
32,BLACK,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
32,CAUCASIAN,\N,\N
33,BLACK,\N,\N
33,BLACK,\N,\N
33,BLACK,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
33,CAUCASIAN,\N,\N
34,BLACK,\N,\N
34,BLACK,\N,\N
34,BLACK,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
34,CAUCASIAN,\N,\N
